X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
1773394.17836598,843616.53047815,21546,401222,"US29N,US70E,US220N",PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,GUILFORD,WALKWAY,80,170,NA,1773394.17836598,843616.53047815,-79.76670922,36.06549808,0411222,7,"Principal Arterial - Other Freeways or Expressways, Urban",FO,99,305,"EBTS: RC CAPS ON STL. PILES, INT. BTS; RC HAMMER HEAD","RC DECK ON STL. PLT. GIRDERS; 23 APPROACH SPANS @ VARIOUS LENGTHS",99,99,3,,"http://maps.google.com/maps?q=36.0654980768744,-79.7667092169408&z=20&ll=36.0654980768744,-79.7667092169408&t=k",01,1
1209444.04347321,906863.695322141,21683,940388,SR1163,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,WATAUGA,WALKWAY,150,60,NA,1209444.04347321,906863.69532214,-81.67998625,36.21232199,0950388,11,"Collector, Urban",FO,0,310,,12' PEDESTRIAN WALKWAY,99,99,3,,"http://maps.google.com/maps?q=36.212321994845,-81.6799862469653&z=20&ll=36.212321994845,-81.6799862469653&t=k",21,1
2016808.84803171,785153.899044067,21703,310626,I40,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,DURHAM,WALKWAY,12,102,NA,2016808.84803171,785153.89904407,-78.94324011,35.90728639,0320626,5,"Principal Arterial - Interstate, Urban",FO,99,311,END BENTS: CIP CONCRETE ON DRILLED PIERS,PRECAST DECK PANELS AND CIP DECK ON 2 TUBE STEEL ARCHES,99,99,3,,"http://maps.google.com/maps?q=35.907286387993,-78.9432401083242&z=20&ll=35.907286387993,-78.9432401083242&t=k",04,1
569739.108974889,608387.503233731,21708,370145,SWEETWATER CREEK,PEDESTRAIN WALKWAY,PEDESTRIAN WALKWAY,GRAHAM,WALKWAY,,80,NA,569739.10897489,608387.50323373,-83.79708262,35.32668444,0380145,14,"Local, Rural",FO,1,302,"E.BTS: REINFORCED CONCRETE; INT.TIMBER SILLS CAPS AND POST ",TIMBER FLOOR/ STEEL I -BEAMS,99,99,3,,"http://maps.google.com/maps?q=35.3266844442847,-83.7970826221519&z=20&ll=35.3266844442847,-83.7970826221519&t=k",01,5
1749785.29054447,870258.932245731,21710,401182,I-840,PED. WALKWAY,PEDESTRIAN WALKWAY,GUILFORD,WALKWAY,5,95,NA,1749785.29054447,870258.93224573,-79.84735442,36.13815424,0411182,7,"Local, Urban",FO,0,602,"END BENTS: RC INTEGRAL ON STEEL PILES; INT. BENT: RC HAMMERHEAD PIER","RC DECK ON TYPE IV PPC GIRDERS CONTINUOUS FOR LIVE LOAD; SIP FORMS",99,99,3,,"http://maps.google.com/maps?q=36.1381542392509,-79.8473544173915&z=20&ll=36.1381542392509,-79.8473544173915&t=k",01,1
1866829.37207264,721482.843971729,21787,180525,E. 3RD ST.,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,CHATHAM,WALKWAY,30,120,NA,1866829.37207264,721482.84397173,-79.448714,35.73155158,0190525,8,"Collector, Urban",FO,2,302,"EBTS & INT. BTS; STL. TRUSS ON STL.PIERS","STEEL TRUSS; IMP CLOSURE PANELS;CONC.& STL.DECKING",99,99,3,,"http://maps.google.com/maps?q=35.7315515829758,-79.4487140039339&z=20&ll=35.7315515829758,-79.4487140039339&t=k",26,1
2325246.20654947,167756.980953231,22248,640220,17TH & 16TH STREETS,PEDESTRIAN BRIDGE ,PEDESTRIAN BRIDGE,NEW HANOVER,NA,285,195,NA,2325246.20654947,167756.98095323,-77.924346,34.20607965,0650220,3,"Other Principal Arterial, Urban",FO,1,312,RC PILES/SPREAD FOOTINGS,STEEL TRUSS PED. STR. BRIDGE WITH RC DECK/CANTILEVERED END PANELS,99,99,3,,"http://maps.google.com/maps?q=34.2060796507335,-77.924345996343&z=20&ll=34.2060796507335,-77.924345996343&t=k",04,1
1632314.36866264,855291.008441478,22369,330710,US 421,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,FORSYTH,NA,5,95,NA,1632314.36866264,855291.00844148,-80.2445003,36.09364046,0340710,9,"Principal Arterial - Other Freeways or Expressways, Urban",FO,1,502,"EBTS; RC CAPS/H-PILES W/MSE WALL@ 4'-3"" CENTERS; INT.BTS.: RC CAPS/RC DRILLED SHAFT FTG. PIER","RC DECK ON PPC. MOD. BULB TEE GIRDERS, SIP FORMS, APPROACH SLABS",99,99,3,,"http://maps.google.com/maps?q=36.0936404641585,-80.2445003015197&z=20&ll=36.0936404641585,-80.2445003015197&t=k",01,1
1297154.92218497,736403.599235147,22823,170386,US 321,PED WKWY,PEDESTRIAN WALKWAY,CATAWBA,NA,130,40,NA,1297154.92218497,736403.59923515,-81.36897941,35.75032961,0180386,12,"Other Principal Arterial, Urban",FO,99,302,"E.BTS: RC CAP\H-PILES, MSE RETAINING WALL @ 5' CENTERS",STEEL ARCH TRUSS PEDESTRIAN BRIDGE,99,99,3,,"http://maps.google.com/maps?q=35.750329608948,-81.3689794084854&z=20&ll=35.750329608948,-81.3689794084854&t=k",04,1
1524173.5304828,591649.644649148,22946,120468,SR1157 SW,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,CABARRUS,NA,100,10,NA,1524173.5304828,591649.64464915,-80.59612029,35.36515403,0130468,10,"Minor Arterial, Urban",FO,99,302,STONE MASONRY ABUTMENT,REINFORCED CONCRETE DECK ON STEEL BEAMS,99,99,3,,"http://maps.google.com/maps?q=35.3651540300348,-80.5961202947403&z=20&ll=35.3651540300348,-80.5961202947403&t=k",21,1
