X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
1633590.35758047,507375.249878064,525,030202,BIG BRANCH OF CRIBS CRK.,SR1608,PIPE,ANSON,40001608,18,108,40001608004,1633590.35758047,507375.24987806,-80.22564356,35.13789266,0040202,10,"Minor Collector, Rural",N,2,919,ABUTMENTS:YOUNT MASONRY,"SINGLE 25'-4"" X 8'-7"" ALUMINUM BOX CULVERT; 40.333' ALONG CENTERLINE OF CULVERT ",99,99,1,1.99401153,"http://maps.google.com/maps?q=35.137892660262,-80.22564355851&z=20&ll=35.137892660262,-80.22564355851&t=k",01,5
1654237.53577422,474985.114199147,531,030215,CABIN BRANCH,SR1614,PIPE,ANSON,40001614,286.07,196.07,40001614004,1654237.53577422,474985.11419915,-80.15532411,35.0495804,0040215,10,"Local, Rural",N,1,319,SOIL CEMENT HEADWALL ,"3 LINES OF 87"" X 66"" CM PIPE ARCH, 45' 0"" ALONG CENTERLINE OF PIPE",99,99,1,4.78817505,"http://maps.google.com/maps?q=35.0495803992041,-80.1553241059132&z=20&ll=35.0495803992041,-80.1553241059132&t=k",01,5
1646570.29848406,497407.537530065,534,030219,BRANCH OF LANES CREEK,SR1613,PIPE,ANSON,40001613,92.4,2.4,40001613004,1646570.29848406,497407.53753006,-80.18183279,35.11093876,0040219,10,"Local, Rural",N,2,319,,"2 LINES OF 112"" X 75"" CM PIPE ARCH, 59' 11"" ALONG CENTERLINE OF PIPE",99,99,1,0.23347182,"http://maps.google.com/maps?q=35.1109387589245,-80.1818327925317&z=20&ll=35.1109387589245,-80.1818327925317&t=k",01,5
1661613.80481431,499759.827116817,535,030223,SOUTH PRONG BUFFALO CREEK,SR1621,PIPE,ANSON,40001621,305.41,215.41,40001621004,1661613.80481431,499759.82711682,-80.13162296,35.11788338,0040223,10,"Local, Rural",N,5,319,SOIL CEMENT HEADWALLS,"3 LINES 74X58 CM PIPE ARCH, 40'0"" ALONG CENTERLINE PIPE",99,99,1,3.76021708,"http://maps.google.com/maps?q=35.1178833767108,-80.1316229617582&z=20&ll=35.1178833767108,-80.1316229617582&t=k",01,5
1638857.73516905,471310.033622816,542,030253,CEDAR BRANCH,SR1415,PIPE,ANSON,40001415,234.1,144.1,40001415004,1638857.73516905,471310.03362282,-80.20655968,35.03898025,0040253,10,"Local, Rural",N,2,919,"56' 7 "" ALONG CENTERLINE OF PIPE","2 LINES OF 112"" X 75"" ALUMINUM STRUCTURAL PLATE ARCH",99,99,1,1.12199554,"http://maps.google.com/maps?q=35.0389802494015,-80.2065596786075&z=20&ll=35.0389802494015,-80.2065596786075&t=k",01,5
1623909.61808372,485890.259383559,545,030266,CRIBS CREEK,SR1445,PIPE,ANSON,40001445,300.39,210.39,40001445004,1623909.61808372,485890.25938356,-80.25711225,35.07853003,0040266,10,"Local, Rural",N,1,319,CONCRETE HEADWALL AT INLET END,"2 LINES 120"" CM PIPE; 55'-10"" ALONG CENTERLINE PIPE",99,99,1,2.2620848,"http://maps.google.com/maps?q=35.0785300290481,-80.2571122507928&z=20&ll=35.0785300290481,-80.2571122507928&t=k",01,5
1690035.81982055,411006.040713981,550,030286,BRANCH S.FORK JONES CRK,SR1126,PIPE,ANSON,40001126,0.39,90.39,40001126004,1690035.81982055,411006.04071398,-80.03349202,34.87487673,0040286,10,"Local, Rural",N,1,919,,"SINGLE 25'-4"" X 8'-7"" ALUMINUM STRUCTURAL PLATE BOX CULVERT; 60' ALONG C/L OF PIPE",99,99,1,2.09399255,"http://maps.google.com/maps?q=34.874876727082,-80.0334920183677&z=20&ll=34.874876727082,-80.0334920183677&t=k",01,5
1694139.75222947,395207.277692139,554,030294,MILL CREEK,SR1834,PIPE,ANSON,40001834,242.9,152.9,40001834004,1694139.75222947,395207.27769214,-80.01926868,34.83158423,0040294,10,"Local, Rural",N,0,319,,"2 LINES 127X80 CM PIPE ARCH; 60'-2 ALONG CENTERLINE PIPE",99,99,1,0.988,"http://maps.google.com/maps?q=34.8315842268586,-80.0192686848505&z=20&ll=34.8315842268586,-80.0192686848505&t=k",01,5
1617059.40704663,426283.361865312,567,030318,BLACK JACK BRANCH,SR1252,PIPE,ANSON,40001252,281.57,191.57,40001252004,1617059.40704663,426283.36186531,-80.27744336,34.91451848,0040318,10,"Local, Rural",N,5,319,SOIL CEMENT HEADWALLS,"2 LINES 96X72 CM PIPE ARCH,50'4 ALONG CENTERLINE PIPE",99,99,1,4.25451689,"http://maps.google.com/maps?q=34.9145184818044,-80.2774433605113&z=20&ll=34.9145184818044,-80.2774433605113&t=k",01,5
1639032.28731339,413935.752374232,568,030320,SHAW CREEK,SR1003,PIPE,ANSON,40001003,30.54,120.54,40001003004,1639032.28731339,413935.75237423,-80.2036525,34.88134727,0040320,10,"Minor Collector, Rural",N,6,319,CONCRETE HEADWALLS,"1 LINE 20' X 12' STRUCTURAL PLATE ARCH, 60'7"" ALONG CENTERLINE ARCH",99,99,1,6.81220205,"http://maps.google.com/maps?q=34.8813472651308,-80.2036524971039&z=20&ll=34.8813472651308,-80.2036524971039&t=k",01,5
1653406.0318598,405079.825532317,570,030324,SOUTH FORK JONES CRK,SR1112,PIPE,ANSON,40001112,238.64,148.64,40001112004,1653406.0318598,405079.82553232,-80.15538376,34.8574842,0040324,10,"Local, Rural",N,1,319,,"2 LINES OF 114"" X 78"" CM PIPE ARCH, 59' 2"" ALONG CENTERLINE OF PIPE ARCH",99,99,1,1.02918672,"http://maps.google.com/maps?q=34.857484199062,-80.1553837598645&z=20&ll=34.857484199062,-80.1553837598645&t=k",01,5
1629471.49278672,399492.42660214,573,030327,BRANCH OF BALES CREEK,SR1217,PIPE,ANSON,40001217,35.59,125.59,40001217004,1629471.49278672,399492.42660214,-80.23493076,34.84134063,0040327,10,"Local, Rural",N,2,319,,"2 LINES 9.33' X 6.25' CM PIPE ARCH, 80'0 ALONG CENTERLINE PIPE",99,99,1,2.40352203,"http://maps.google.com/maps?q=34.8413406298248,-80.2349307649504&z=20&ll=34.8413406298248,-80.2349307649504&t=k",01,5
1244279.41966847,940250.452695474,589,040017,MILL CREEK,SR1109,PIPE,ASHE,40001109,90,180,40001109005,1244279.41966847,940250.45269547,-81.5648716,36.30652324,0050017,11,"Local, Rural",N,99,919,,"20'-0"" X 4'-4"" SINGLE ALUMINUM BOX CULVERT;  81' ALONG C/L OF PIPE",99,99,1,1.89598714,"http://maps.google.com/maps?q=36.3065232378774,-81.5648715963258&z=20&ll=36.3065232378774,-81.5648715963258&t=k",01,5
