X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER,AADT,AADT_YR
1792183.63192873,411664.916692808,42416,760015,NC38,SCL RR,RAILROAD,RICHMOND,RAILROAD,77,150,NA,1792183.63192873,411664.91669281,-79.69293679,34.87912775,0770015,8,"Other Principal Arterial, Urban",FO,1,302,REINFORCED CONCRETE CELLULAR ABUTMENTS,CONCRETE ENCASED I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=34.8791277454233,-79.6929367882596&z=20&ll=34.8791277454233,-79.6929367882596&t=k",27,1,,
1791650.2612763,414085.930551559,42417,760038,US74 BUS,SCL RR,RAILROAD,RICHMOND,RAILROAD,299,209,NA,1791650.2612763,414085.93055156,-79.69477168,34.88576973,0770038,8,"Other Principal Arterial, Urban",FO,1,302,REINFORCED CONCRETE CELLULAR ABUTMENTS,CONCRETE ENCASED I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=34.8857697259288,-79.6947716829343&z=20&ll=34.8857697259288,-79.6947716829343&t=k",27,1,,
1805153.91766788,948918.582996979,42425,780005,SR2687,RAILROAD OVERPASS,RAILROAD,ROCKINGHAM,RAILROAD,15,105,NA,1805153.91766788,948918.58299698,-79.66162977,36.35536529,0790005,7,,FO,2,101,ABUTMENTS: REINFORCED CONCRETE CELLULAR,REINFORCED CONCRETE SLAB,99,99,2,,"http://maps.google.com/maps?q=36.3553652921095,-79.661629770291&z=20&ll=36.3553652921095,-79.661629770291&t=k",27,1,,
1732530.8932948,986926.708096057,42426,780125,SR1603,N&W RAILWAY,RAILROAD,ROCKINGHAM,RAILROAD,358,250,NA,1732530.8932948,986926.70809606,-79.90940277,36.45817576,0790125,7,"Minor Arterial, Rural",FO,0,101,ABUTMENTS:REINFORCED CONCRETE FULL HEIGHT,REINFORCED CONCRETE SLAB,99,99,2,,"http://maps.google.com/maps?q=36.4581757612455,-79.9094027748202&z=20&ll=36.4581757612455,-79.9094027748202&t=k",27,1,,
1806657.30704956,956664.802740723,42427,780137,US158 & NC14,SOUTHERN RR,RAILROAD,ROCKINGHAM,RAILROAD,333,240,NA,1806657.30704956,956664.80274072,-79.65669893,36.37666823,0790137,7,"Other Principal Arterial, Urban",FO,2,302,"EBTS:RC CAPS ON STL.PILES,INTBTS:RC POST & BEAM ON PILE FTG.",REINFORCED CONCRETE DECK ON I-BEAMS & PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=36.3766682267767,-79.6566989325888&z=20&ll=36.3766682267767,-79.6566989325888&t=k",27,1,,
1732419.80624664,993666.709051728,42428,780138,SR1603,RAILROAD OVERPASS,RAILROAD,ROCKINGHAM,RAILROAD,126,70,NA,1732419.80624664,993666.70905173,-79.90999052,36.47668348,0790138,7,"Minor Arterial, Rural",FO,1,101,ABUTMENTS:RC FULL HEIGHT,REINFORCED CONCRETE SLAB,99,99,2,,"http://maps.google.com/maps?q=36.4766834812174,-79.9099905154167&z=20&ll=36.4766834812174,-79.9099905154167&t=k",27,1,,
1831555.9157168,977331.185948566,42431,780174,US29,RAILROAD OVERPASS,RAILROAD,ROCKINGHAM,RAILROAD,92,30,NA,1831555.9157168,977331.18594857,-79.57253631,36.43385227,0790174,7,"Principal Arterial - Other, Rural",FO,6,302,"EBTS:RC CAPS ON STEEL PILES, INT.BENTS: 3 COL. RC POST & BEAM",REINFORCED CONCRETE DECK ON I-BEAMS & PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=36.4338522654195,-79.5725363120463&z=20&ll=36.4338522654195,-79.5725363120463&t=k",27,1,,
1731492.15751138,1013981.18417072,42432,780179,US220,RAILROAD OVERPASS,RAILROAD,ROCKINGHAM,RAILROAD,66,140,NA,1731492.15751138,1013981.18417072,-79.91378101,36.53244994,0790179,7,"Principal Arterial - Other, Rural",FO,1,302,"END BNTS:RC CAP & STL.PILES,INT.BTS:RC CAP ON DRILLED PIERS",RC DECK ON PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=36.532449938343,-79.913781014483&z=20&ll=36.532449938343,-79.913781014483&t=k",27,1,,
1840734.66802855,983859.642707899,42434,780278,SR2561,SOUTHERN RR,RAILROAD,ROCKINGHAM,RAILROAD,42,85,NA,1840734.66802855,983859.6427079,-79.54145968,36.45192396,0790278,7,"Local, Rural",FO,0,302,ABUTMENTS:MASS CONCRETE,TIMBER DECK ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.4519239584586,-79.5414596816485&z=20&ll=36.4519239584586,-79.5414596816485&t=k",27,1,,
1511958.93647373,720342.247499645,42437,790067,US70,RAILROAD OVERPASS,RAILROAD,ROWAN,RAILROAD,348,258,NA,1511958.93647373,720342.24749964,-80.64423528,35.71814044,0800067,9,"Principal Arterial - Other, Rural",FO,2,302,END & INT.BENTS:RC CAP PRECAST PRESTRESSED CONCRETE PILES,TIMBER DECK ON STEEL PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.7181404425529,-80.6442352771904&z=20&ll=35.7181404425529,-80.6442352771904&t=k",27,1,,
